settings,max acc,epoch accs
"--model bert --input_max_length 50 --lr 5e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.871,"[0.871, 0.871]"
"--model bert --input_max_length 50 --lr 2e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.869,"[0.859, 0.868]"
"--model bert --input_max_length 50 --lr 1e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.863,"[0.848, 0.862]"
"--model xlnet --input_max_length 50 --lr 2e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.858,"[0.84, 0.856]"
"--model bert --input_max_length 100 --lr 5e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.869,"[0.856, 0.867]"
"--model xlnet --input_max_length 50 --lr 5e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.864,"[0.853, 0.864]"
"--model xlnet --input_max_length 50 --lr 1e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.855,"[0.839, 0.855]"
"--model bert --input_max_length 150 --lr 5e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.865,"[0.863, 0.865]"
"--model bert --input_max_length 150 --lr 2e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.87,"[0.853, 0.867]"
"--model bert --input_max_length 150 --lr 1e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.861,"[0.848, 0.861]"
"--model bert --input_max_length 100 --lr 2e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.867,"[0.86, 0.867]"
"--model bert --input_max_length 100 --lr 1e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.863,"[0.852, 0.863]"
"--model bert --input_max_length 200 --lr 2e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657189057.7117476.csv",0.866,"[0.866, 0.865]"
